citric acid,free sulfur dioxide,density,pH,alcohol,quality
0.23,16,0.9962,3.21,10.2,6
0.31,32,0.998,3.33,9.8,5
0.23,5,0.997,3.37,11.3,5
0.32,35,0.998,3.25,9.4,5
0.23,5,0.997,3.37,11.3,5
0.18,13,0.997,3.44,9.1,5
0.23,13,0.9998,3.28,9.7,5
0.04,4,0.9962,3.4,9.4,5
0.48,5,0.9976,3.3,9.4,5
0,5,0.9966,3.63,10.7,3
0.24,12,0.9998,3.48,9.8,5
0.51,16,0.9979,3.03,9,5
0.32,21,0.9984,3.32,9.4,5
0.31,24,0.9984,3.31,9.4,5
0.02,18,0.9921,3.9,12.8,6
0.02,8,0.9972,3.47,9.5,6
0.02,8,0.9972,3.47,9.5,6
0.28,18,1.0001,3.31,9.7,5
0.55,5,0.9986,3.11,10.8,6
0.43,26,0.9984,3.08,10.1,6
0.02,8,0.9972,3.47,9.5,6
0.02,9,0.997,3.47,9.4,6
0.48,22,0.9972,3.32,9.6,4
0.04,4,0.998,3.29,9.7,4
0.15,11,0.999,3.37,9.9,5
0.08,10,0.9956,3.4,10,5
0.19,16,0.9966,3.37,10.5,5
0.12,11,0.996,3.34,11.6,6
0.47,13,0.9983,3.27,10,6
0.43,21,0.9985,3.06,10.1,5
0.34,16,0.9998,3.38,9.5,5
0,13,0.9992,3.36,9.4,5
0.36,10,0.9976,3.34,9.4,5
0.28,21,0.998,3.28,9.8,5
0.18,13,0.9967,3.29,9.2,6
0.36,10,0.9976,3.34,9.4,5
0.11,12,0.9968,3.21,10,5
0.04,10,0.9976,3.22,9.6,5
0,17,0.9976,3.46,9.5,5
0.04,10,0.9976,3.22,9.6,5
0.24,35,0.9982,3.1,9.2,5
0.08,15,0.9968,3.21,10,5
0.3,36,0.9965,2.94,9.5,5
0.1,5,0.9958,3.54,11.2,4
0.17,5,0.9976,3.29,10.4,5
0.09,18,0.9994,3.43,11.1,6
0.02,4,0.997,3.46,9.5,5
0.02,4,0.997,3.46,9.5,5
0.03,27,0.995,3.61,12.7,6
0.66,12,0.9982,3.17,9.6,5
0.13,4,0.9994,3.44,11.5,5
0.03,10,0.9966,3.39,9.6,5
0.34,16,0.998,3.55,9.5,5
0.2,9,0.9987,3.48,9.3,5
0.1,11,0.9963,3.26,9.5,5
0.1,11,0.9963,3.26,9.5,5
0,19,1.0002,3.5,9.3,6
0.23,28,0.9983,3.1,9.2,5
0,19,0.999,3.35,9.3,5
0.29,12,0.9965,3.45,11.5,6
0.24,28,0.99788,3.21,9.5,5
0,9,0.9972,3.46,9.2,5
0.58,25,1.00024,3.13,10,5
0.54,21,1.0001,3.13,9.5,5
0.18,12,0.99768,3.52,9.5,6
0.38,12,0.9978,3.3,9,6
0.4,16,0.99782,3.3,9.4,5
0.18,12,0.99761,3.52,9.6,6
0.18,12,0.99768,3.52,9.5,6
0.1,17,0.99803,3.29,9.5,5
0.1,17,0.99803,3.29,9.5,5
0.13,24,0.99785,3.39,9.4,5
0.1,17,0.99803,3.29,9.5,5
0.68,14,0.99656,3.09,9.1,6
0.07,22,0.99525,3.51,10.7,6
0.01,15,0.99488,3.6,11.2,6
0,10,0.99656,3.25,9.8,5
0,10,0.99656,3.25,9.8,5
0.21,33,0.99823,3.19,9.2,5
0.25,9,0.99779,3.23,9.7,5
0.26,5,0.99738,3.25,9.6,5
0,8,0.99701,3.31,10,6
0.26,5,0.99738,3.25,9.6,5
0.11,11,0.99888,3.31,9.5,6
0.1,12,0.99888,3.31,9.5,6
0.18,12,0.99738,3.14,9.4,5
0.32,13,0.99938,3.45,9.5,5
0.02,24,0.99744,3.55,9.7,6
0.01,7,0.99668,3.39,9.6,5
0.02,24,0.99744,3.55,9.7,6
0.26,23,0.9978,3.28,9.4,5
0.27,23,0.99782,3.27,9.4,5
0.29,1,0.9973,3.3,9.5,6
0.3,2,0.99727,3.31,9.5,6
0,7,0.99586,3.43,10,5
0.18,5.5,0.99612,3.4,10.3,6
0.17,6,0.9961,3.4,10.3,6
0.3,7,0.99788,3.36,10.5,5
0.03,21,0.99745,3.5,9.8,5
0,12,0.99676,3.31,9.4,6
0.14,9,0.99732,3.66,9.8,5
0.05,26,0.99814,3.36,10,5
0.14,9,0.99732,3.66,9.8,5
0.01,20,0.99746,3.55,9.8,5
0.41,11,0.9982,3.21,9.5,5
0.41,11,0.9982,3.21,9.5,5
0.24,19,0.9991,3.18,10.1,6
0.24,19,0.9991,3.18,10.1,6
0.17,21,0.998,3.09,9.3,5
0.43,18,0.99708,3.33,9.7,6
0.17,25,0.99818,3.23,9.6,5
0.02,17,0.99745,3.48,9.7,6
0,7,0.99639,3.38,10.8,5
0.54,7,0.99531,3.17,12.5,6
0.3,7,0.99786,2.99,10.2,5
0.31,24,0.99746,3.1,9.6,5
0.44,21,0.99526,3.24,10.8,7
0.34,5,0.9987,3.29,10.7,6
0.34,5,0.9987,3.29,10.7,6
0.08,26,0.99641,3.25,9.4,5
0.09,8,0.99735,3.23,10,5
0,14,0.99264,3.56,12.9,7
0.08,14,0.9971,3.24,9.6,6
0.22,4,0.99682,3.26,9.9,6
0.4,4,0.99356,3.33,12.8,7
0.39,4,0.99386,3.27,12.5,7
0.4,4,0.99356,3.33,12.8,7
0.12,4,0.99702,3.26,9.2,5
0.31,4,0.99693,3.22,10.3,6
0.1,4,0.99562,3.3,10.5,5
0.55,7,1.00012,3.09,10.9,6
0.33,20,0.99818,3.24,10.8,5
0.24,4,0.99462,3.44,11.4,4
0.54,19,0.99939,3.21,11.3,6
0.33,20,0.99818,3.24,10.8,5
0.19,8,0.9984,3.23,10.5,6
0.42,19,0.99545,3.28,11.9,6
0,21,0.99632,3.29,9.4,5
0.15,9,0.99976,3.28,9.6,5
0,9,0.99606,3.34,9.7,5
0,16,0.99154,3.71,14,7
0.13,15,0.9973,3.61,9.8,5
0.13,15,0.9973,3.61,9.8,5
0.28,6,0.99682,3.24,10.3,5
0.14,15,0.99624,3.36,10.7,5
0.34,4,0.9951,3.4,11,7
0.14,15,0.99624,3.36,10.7,5
0.09,34,0.99417,3.46,12.7,8
0.08,16,0.99376,3.56,11.1,6
0.07,5,0.99632,3.38,10.9,4
0.08,16,0.99376,3.56,11.1,6
0.42,34,0.99832,3.38,9.9,3
0.44,36,0.99836,3.38,9.9,4
0.26,16,0.99694,3.32,9.4,5
0.1,27,0.99655,3.39,9.3,5
0.28,36,0.99064,3.26,11.7,7
0.28,36,0.99064,3.26,11.7,7
0.35,9,0.99672,3.24,11.2,7
0.04,13,0.99647,3.46,10,5
0.47,9,0.99736,3.24,12.1,7
0,21,0.99629,3.45,10.3,5
0.45,34,0.99708,3.23,10.9,6
0.35,9,0.9963,3.28,9.4,5
0.46,26,0.9959,3.18,10.6,6
0.21,14,0.99689,3.59,9.8,5
0.21,14,0.99689,3.59,9.8,5
0.16,12,0.9977,3.5,9.9,6
0.21,14,0.99689,3.59,9.8,5
0.21,12,0.99689,3.58,9.8,5
0.44,9,0.99708,3.28,9.5,5
0.44,9,0.99708,3.28,9.5,5
0.32,26,0.99801,3.22,9.7,5
0.39,41,0.99652,3.47,10.9,6
0.39,41,0.99652,3.47,10.9,6
0.02,10,0.99538,3.51,11.7,7
0.39,41,0.99652,3.47,10.9,6
0.34,16,0.99594,3.4,11.3,7
0.47,17,0.99686,3.15,10.6,7
0.22,15,0.99438,3.4,11.2,6
0.06,15,0.99746,3.51,9.5,5
0.66,15,0.99357,3.66,11.5,6
0.32,7,0.99628,3.24,10.4,5
0.06,17,0.99746,3.51,9.7,5
0.06,15,0.99746,3.51,9.5,5
0.07,16,0.99748,3.51,9.7,5
0.22,13,0.99438,3.41,11.3,6
0.23,13,0.99438,3.4,11.2,6
0.22,15,0.99438,3.4,11.2,6
0.03,27,0.99578,3.44,10.9,6
0.01,31,0.99371,3.41,11.8,6
0.03,36,0.99522,3.53,10.6,5
0.24,28,0.99576,3.43,10,4
0.37,6,0.99552,3.23,11.1,7
0.46,6,0.99664,3.12,11.8,7
0.4,7,0.99614,3.31,11.8,7
0,7,0.99517,3.4,10.9,4
0.01,31,0.99371,3.41,11.8,6
0.19,30,0.99787,3.22,10,6
0.04,18,0.99745,3.53,9.5,5
0.18,10,0.99576,3.15,9.9,5
0,30,0.99533,3.48,11.4,6
0.29,14,0.99536,3.22,12,6
0.04,18,0.99745,3.53,9.5,5
0.19,30,0.99787,3.22,10,6
0.14,9,0.99824,3.34,10.5,5
0.12,8,0.99836,3.33,10.4,6
0.38,29,0.99577,3.15,12.1,7
0,32,0.99491,3.43,11.2,6
0.34,23,1.00289,3.22,9.3,5
0.24,30,0.99576,3.44,10.1,5
0.03,16,0.99743,3.53,9.7,5
0.23,10,0.99774,3.22,9.3,6
0.03,16,0.99743,3.53,9.7,5
0.03,17,0.99745,3.53,9.8,6
0.01,27,0.9955,3.42,10.7,6
0.39,17,0.99444,3.31,12.5,7
0.01,27,0.9955,3.42,10.7,6
0.39,17,0.99444,3.31,12.5,7
0.02,6,0.99892,3.48,11,3
0.36,10,0.99562,3.4,11.8,5
0.1,16,0.99736,3.58,10.8,7
0.1,16,0.99736,3.58,10.8,7
0.06,11,0.9962,3.41,10.8,7
0.06,11,0.9962,3.41,10.8,7
0.2,15,0.998,3.23,9.5,5
0.27,12,0.9964,3.39,11,5
0,6,0.9948,3.59,11.5,6
0.13,34,0.99528,3.43,10.8,6
0.39,7,0.99331,3.29,11.5,6
0.48,3,0.99577,3.23,13.2,6
0.46,3,0.99901,3.18,10.9,6
0.44,4,0.99674,3.33,12.2,6
0.46,3,0.99639,3.27,12.2,7
0.39,7,0.99331,3.29,11.5,6
0.4,3,0.99512,3.27,11.9,6
0.19,7,0.99395,3.62,11,5
0.31,26,0.99824,3.38,10.1,6
0.32,32,0.9964,3.3,11,6
0.12,38,0.99504,3.38,11.8,6
0.37,10,0.99786,3.24,10.5,5
0.32,32,0.9964,3.3,11,6
0.12,38,0.99504,3.38,11.8,6
0.31,26,0.99824,3.38,10.1,6
0.27,14,0.99516,3.18,11.2,5
0.36,53,0.99604,3.47,11,7
0.33,52,0.99786,3.47,10.2,6
0.19,11,0.99736,3.2,9.2,4
0.27,14,0.99516,3.18,11.2,5
0.38,10,0.99468,3.3,12,7
0.01,8,0.99746,3.69,10.5,5
0.01,13,0.99748,3.48,9.8,5
0.29,29,0.9971,3.45,9.5,6
0.01,13,0.99748,3.48,9.8,5
0.01,8,0.99746,3.69,10.5,5
0.38,19,0.99543,3.39,11.8,6
0.38,19,0.99543,3.39,11.8,6
0.5,6,0.99791,3.07,10.4,4
0.38,23,0.99356,3.34,12.9,7
0.17,7,0.99425,3.61,11.4,5
0.52,13,0.99509,3.36,12.4,7
0.49,9,0.99484,3.19,12.5,7
0.4,13,0.99834,3.22,10,7
0.34,10,0.99864,3.24,9.7,7
0.49,11,0.99498,3.27,12.1,7
0.42,7,0.99566,3.14,11.1,7
0.58,11,0.99745,3.29,12,7
0.48,6,0.99408,3.26,12.4,7
0.45,10,0.99552,3.41,11.9,7
0.45,10,0.99552,3.41,11.9,7
0.45,10,0.99552,3.41,11.9,7
0.48,6,0.99408,3.26,12.4,7
0.4,6,0.99536,3.31,11.2,7
0.48,5,0.99458,3.2,12.1,7
0.4,6,0.99538,3.44,12.2,6
0.52,9,0.99648,3.36,10.4,5
0.52,5,0.99568,3.31,11.3,6
0.52,12,0.99613,3.29,11.1,6
0.12,25,0.99519,3.47,11.3,7
0.05,12,0.99735,3.36,10,5
0.27,18,0.99518,3.16,11.1,6
0.14,7,0.99592,3.27,9.3,5
0.02,6,0.99654,3.38,9.5,5
0.39,20,0.99546,3.15,11.2,6
0.27,18,0.99518,3.16,11.1,6
0.4,24,0.99554,3.34,11,6
0.41,6,0.99604,3.13,11.9,7
0.2,23,0.99733,3.13,9.2,5
0.43,29,0.9943,3.2,12.2,6
0.09,7,0.99669,3.46,10.2,5
0.48,6,0.99724,3.33,10.9,6
0.48,6,0.99724,3.33,10.9,6
0.5,6,0.99643,3.22,11.6,7
0.44,6,0.99605,3.52,10.7,5
0.41,7,0.99658,3.3,12.1,7
0.3,35,0.997,3.44,9.4,5
0.3,35,0.997,3.44,9.4,5
0.29,31,0.99801,3.15,9.1,5
0.32,9,0.99416,3.28,11.3,7
0.49,3,0.9969,3.13,10.4,5
0.3,8,0.99774,3.32,10.5,6
0.26,13,0.99712,3.25,10,5
0.32,51,0.99418,3.34,12.9,6
0.3,8,0.99774,3.32,10.5,6
0.49,3,0.9969,3.13,10.4,5
0,7,0.99562,3.45,11.3,6
0.39,3,0.9947,3.19,11.4,7
0.3,35,0.99693,3.44,9.4,5
0.12,19,0.99596,3.16,9.4,5
0.4,14,0.99556,3.14,10.9,6
0.12,19,0.99596,3.16,9.4,5
0.28,31,0.99694,3.45,9.4,5
0.1,30,0.99554,3.36,9.4,6
0.28,31,0.99694,3.45,9.4,5
0.45,20,0.99918,3.15,9.4,5
0.06,19,0.99697,3.39,10.1,6
0,3,0.99378,3.71,12.8,7
0,3,0.99378,3.71,12.8,7
0.34,4,0.99554,3.12,9.1,6
0,7,0.99162,3.47,12.9,6
0.3,6,0.99495,3.44,11.5,7
0.38,31,0.99676,3.26,10.6,7
0.33,13,0.99516,3.26,11.7,7
0.32,4,0.9928,3.36,12.8,7
0.29,27,0.99603,3.25,10.3,5
0.32,4,0.9928,3.36,12.8,7
0.33,13,0.99516,3.26,11.7,7
0.34,12,0.99516,3.26,11.7,7
0.4,12,0.99549,3.23,12,7
0.36,26,0.99722,3.18,10.9,5
0.45,7,0.99354,3.25,12.3,7
0.31,12,0.9957,3.17,10.4,6
0.15,11,0.99604,3.23,10,5
0,22,0.99635,3.38,10,6
0.16,3,0.99454,3.22,11.2,6
0.46,14,0.99598,3.06,11.4,6
0.4,12,0.99486,3.27,12.6,7
0.37,36,0.99007,2.89,12.7,6
0.37,36,0.99007,2.89,12.7,6
0.14,10,0.99636,3.53,10.4,5
0.66,3,0.99642,3.2,11.9,6
0.66,3,0.99642,3.2,11.9,6
0.09,4,0.99584,3.35,10.5,5
0.42,3,0.99506,3.27,12.3,6
0.01,12,0.99568,3.32,10.5,7
0,17,0.99822,3.33,10.4,6
0.32,14,0.99364,3.41,12.6,6
0,28,0.99378,3.49,11.6,5
0.21,41,0.99586,3.37,10.1,6
0.01,12,0.99568,3.32,10.5,7
0,9,0.99488,3.42,11.5,7
0.01,9,0.99514,3.35,11,7
0,5,0.99854,3.36,9.6,5
0.08,14,0.99592,3.3,10.4,6
0.18,15,0.99739,3.2,9.7,6
0.34,5,0.99683,3.17,10.6,7
0.34,26,0.99356,3.22,12.5,7
0.1,20,0.99672,3.35,9.2,5
0.41,25,0.9953,3.24,12.6,7
0.21,21,0.99692,3.33,11.1,6
0,16,0.99756,3.58,10.2,5
0.19,13,0.99547,3.38,9.8,6
0.21,21,0.99692,3.33,11.1,6
0.41,18,0.99859,3.29,10.9,7
0.33,12,0.99294,3.36,12.2,6
0,32,0.99438,3.32,11.4,6
0,33,0.99612,3.31,10.7,6
0.17,27,0.99634,3.49,10.4,5
0.36,3,0.99702,3.27,10.9,6
0.36,6,0.99704,3.27,10.8,6
0.17,27,0.99634,3.49,10.4,5
0.59,16,0.99702,3.03,9.2,5
0.05,19,0.99258,3.56,12.9,5
0.42,9,0.99426,3.38,12.7,7
0.27,5,0.99747,3.13,9.1,6
0.27,5,0.99747,3.13,9.1,6
0.53,3,0.99586,3.21,12.1,7
0.25,28,0.99784,3.15,9.1,5
0.57,30,0.9971,3.19,11.6,7
0.53,3,0.99586,3.21,12.1,7
0.57,3,0.9981,3.14,9.9,6
0.5,7,0.99462,3.21,12.5,8
0.44,6,0.9956,3.3,11.4,6
0.65,6,0.99565,3.22,11.8,6
0.09,5,0.99418,3.28,11.8,6
0.18,6,0.9963,3.29,10.2,6
0.08,13,0.99358,3.4,12.5,7
0.53,3,0.99572,3.02,10.9,7
0.53,3,0.99572,3.02,10.9,7
0.35,28,0.997,3.31,10.8,5
0.45,19,0.99498,3.18,11.1,7
0.2,30,0.99892,3.2,9.2,5
0.26,33,0.9968,3.4,9.5,6
0.33,16,0.9972,3.31,10.7,6
0.2,30,0.99892,3.2,9.2,5
0.34,45,0.99769,3.44,10.2,7
0.56,3,0.99534,3.15,11.4,6
0.65,3,0.99817,3.27,11,5
0.65,3,0.99817,3.27,11,5
0.68,37.5,0.99316,3.01,12.3,7
0.56,3,0.99471,3.16,11.8,6
0.68,37.5,0.99316,3.01,12.3,7
0.3,31,0.99685,3.42,9.5,6
0.45,32,0.99617,3.33,12,6
0.3,31,0.99685,3.42,9.5,6
0.08,40,0.99529,3.12,9.6,5
0.4,3,0.99738,3.38,11.6,7
0.42,18,0.994,3.29,11.2,6
0.54,22,0.99735,3.02,9.9,7
0.54,22,0.99735,3.02,9.9,7
0.54,42,0.99451,2.98,11.8,8
0.42,8,0.99546,3.35,11.4,6
0.09,10,0.99479,3.43,11.5,6
0.36,11,0.99615,3.33,12,7
0.09,9,0.99655,3.35,10.8,6
0.47,6,0.99772,3.15,10.5,5
0.09,9,0.99655,3.35,10.8,6
0.38,5,0.99666,3.2,9.4,5
0.45,5,0.99358,3.15,12.5,7
0.38,5,0.99666,3.2,9.4,5
0.42,23,0.99392,3.11,12.4,6
0.27,14,0.99388,3.35,12,6
0.09,18,0.99402,3.45,11.2,6
0.27,14,0.99388,3.35,12,6
0.34,16,0.9936,3.28,12.4,6
0.28,13,0.99374,3.41,12.8,5
0.42,9,0.99376,3.21,12.3,6
0.41,10,0.99523,3.27,11.7,7
0.1,4,0.99855,3.36,9.5,5
0.43,27,0.9982,3.17,10.8,6
0,6,0.99593,3.25,10,6
0.27,23,0.99471,3.78,12.3,7
0.41,6,0.99396,3.29,11,6
0.39,3,0.99698,3.12,9.5,6
0.5,29,0.9902,3.49,13.6,6
0.07,15,0.99572,3.38,11.3,6
0.07,15,0.99572,3.38,11.3,6
0.07,15,0.99572,3.38,11.3,6
0.12,14,0.99252,3.3,13.3,6
0,7,0.99256,3.52,12.9,5
0.34,8,0.99235,3.2,13.1,8
0,21,0.99352,3.44,12.3,6
0,27,0.9922,3.45,12.3,6
0.37,17,0.99674,3.12,11.2,6
0,3,0.99557,3.62,11.5,4
0.35,13,0.99394,3.14,11.3,7
0.26,3,0.9915,3.39,13.5,6
0,26,0.99379,3.51,11.5,6
0.33,28,0.9984,3.22,10,5
0.35,24,0.99798,3.21,10.5,6
0,5,0.9977,3.18,10.4,6
0.21,57,0.99341,3.32,9.5,5
0.34,18,0.9933,3.38,13.6,7
0.07,10,0.99684,3.37,11.2,7
0.35,6,0.99524,3.3,11.8,7
0.43,22,0.9946,3.38,11.9,6
0.45,6,0.99774,3.22,11.4,6
0.45,6,0.99774,3.22,11.4,6
0.15,29,0.99786,3.14,9.1,5
0.24,16,0.99764,3.34,9.5,6
0.3,33,0.9969,3.41,9.5,6
0.32,24,0.99624,3.27,11,6
0.11,6,0.99354,3.3,11.4,6
0.3,16,0.99672,3.61,10,6
0.23,35,0.99588,3.43,10.1,5
0.43,31,0.99672,3.53,10.4,6
0.12,6,0.996,3.28,9.8,6
0.45,6,0.99702,3.21,11.8,7
0.42,9,0.99526,3.39,11.6,6
0.47,6,0.99585,3.23,12,6
0.32,4,0.99473,3.3,12.8,7
0.23,16,0.99352,3.46,12.5,6
0.25,9,0.99616,3.15,9.8,5
0.35,17,0.99622,3.23,11.1,6
0,50,0.99544,3.59,11.4,6
0.25,9,0.99616,3.15,9.8,5
0.51,45,0.99524,3.33,11.8,7
0.18,16,0.9924,3.46,12.9,7
0.43,22,0.99572,3.42,10.6,6
0.43,11,0.99728,3.16,10.8,5
0.57,6,0.99676,3.14,11.1,7
0.43,12,0.99551,3.21,10.2,6
0.42,12,0.99434,3.14,11.8,7
0.24,10,0.99692,3.29,10,5
0.24,10,0.99692,3.29,10,5
0.5,15,0.99634,3.01,9.4,5
0.26,7,0.99709,2.94,10.2,5
0.39,29,0.99528,3.32,12.4,7
0.27,8,0.99384,3.21,12,6
0.29,5,0.99502,3.32,11.5,6
0.34,5,0.99667,3.2,10.5,6
0,26,0.99522,3.42,10.8,6
0.46,5,0.99649,3.27,12.3,6
0.31,26,0.99716,3.46,9.5,6
0.31,26,0.99716,3.46,9.5,6
0,48,0.99541,3.61,11.5,6
0.03,23,0.99572,3.58,11.2,4
0,6,0.99318,3.35,12.7,7
0,17,0.99346,3.68,11.4,5
0.33,11,0.99599,3.27,11,6
0.33,11,0.99599,3.27,11,6
0.43,5,0.99478,3.19,11.4,5
0.4,41,0.99754,3.38,10.5,6
0.07,16,0.99572,3.29,9.3,5
0.23,11,0.99538,3.36,10.9,5
0.3,6,0.99346,3.33,11.9,6
0.03,6,0.9963,3.52,12.2,5
0.3,6,0.99346,3.33,11.9,6
0.23,11,0.99538,3.36,10.9,5
0.05,5,0.99616,3.3,9.6,4
0.57,6,0.99652,3.28,12.5,6
0,6,0.99551,3.56,10.8,5
0.37,11,0.99439,3.52,12.4,7
0,6,0.99551,3.56,10.8,5
0.12,15,0.99588,3.22,9.5,6
0.22,21,0.99633,3.52,9.5,6
0.23,23,0.99686,3.21,9.5,6
0.21,4,0.99458,3.16,9.8,6
0.26,19,0.9951,3.15,10.9,6
0.23,23,0.99686,3.21,9.5,6
0.21,4,0.99458,3.16,9.8,6
0.36,5,0.99419,3.27,11.2,7
0.39,6,0.99516,3.35,11.7,8
0.19,33,0.99878,3.14,9.4,5
0.46,24,0.99534,3.4,11,7
0.46,24,0.99534,3.4,11,7
0.46,24,0.99534,3.4,11,7
0.55,24,0.99752,3.35,10,5
0.46,24,0.99534,3.4,11,7
0.43,14,0.99428,3.45,11.2,7
0.02,8,0.99498,3.35,10.4,6
0.15,22,0.9957,3.32,9.3,5
0.02,8,0.99498,3.35,10.4,6
0.42,5,0.99659,3.15,10.5,6
0.46,6,0.99628,3.1,10.4,6
0.46,20,0.99488,3.26,11.3,6
0.31,10,0.99677,3.29,9.5,6
0.37,43,0.99408,3.23,12,6
0.31,8,0.996,3.24,10.6,6
0.4,25,0.99478,3.2,10.9,6
0.52,17,0.99734,3.28,11.5,6
0.52,17,0.99734,3.28,11.5,6
0.22,33,0.99678,3.26,9.6,6
0.47,9,0.99638,3.23,12,6
0.49,8,0.9992,3.07,10.3,6
0.23,18,0.99922,3.15,9.4,5
0.03,27,0.99592,3.02,9.2,5
0.25,8,0.99769,3.27,9.6,5
0,18,0.99157,3.68,13.6,7
0.29,19,0.99718,3.4,9.5,5
0.34,15,0.9947,3.37,11.8,6
0.01,48,0.99621,3.38,10.8,5
0.29,19,0.99718,3.4,9.5,5
0.37,14,0.99614,3.23,9.3,4
0.01,11,0.99242,3.39,12.8,6
0.32,6,0.99572,3.3,11.5,4
0,7,0.99659,3.26,9.4,6
0.01,11,0.99242,3.39,12.8,6
0,12,0.99798,3.38,9.6,4
0,11,0.99488,3.45,11.8,4
0.2,36,0.99494,3.1,9.3,5
0.39,28,0.99729,3.16,9.8,5
0.41,15,0.99414,3.22,12.2,6
0.22,10,0.9983,3.37,9.5,5
0.25,72,0.99721,3.33,10.3,6
0.19,15,0.99655,3.49,10.5,5
0.07,15,0.99502,3.12,10,5
0.19,15,0.99655,3.49,10.5,5
0.33,22,0.9949,3.41,11.1,6
0.01,24,0.99514,3.4,10.9,6
0.01,24,0.99514,3.4,10.9,6
0.14,27,0.9963,3.28,9.8,5
0,6,0.99627,3.45,9.8,5
0,6,0.99569,3.43,9.5,5
0.06,20,0.99628,3.4,10.9,5
0.02,26,0.99358,3.47,11,5
0.22,43,0.99499,3.1,9.2,5
0.28,12,0.99633,3.32,11,6
0,15,0.99538,3.44,11.3,6
0,15,0.99538,3.44,11.3,6
0.68,19,0.99632,3.02,9.3,5
0,17,0.99437,3.59,11.2,4
0.38,34,0.99726,3.15,9.8,5
0,13,0.9978,3.37,9.6,4
0.32,26,0.99456,3.38,11.8,6
0.05,16,0.99564,3.38,10.3,6
0.05,16,0.99564,3.38,10.3,6
0.5,13,0.996,3.1,11.4,6
0.31,21,0.99668,3.47,9.5,6
0.03,28,0.9908,3.5,14,8
0.01,26,0.99084,3.7,14,6
0.2,24,0.9935,3.38,11.7,6
0,25,0.99385,3.5,11.2,5
0.2,34,0.99494,3.1,9.3,5
0.13,17,0.9944,3.24,11.2,6
0.22,13,0.99688,3.24,9.5,6
0.4,3,0.99566,3.28,12,4
0,3,0.99636,3.35,9.7,6
0.22,13,0.99688,3.24,9.5,6
0.39,3,0.9948,3.14,11.5,7
0.2,28,0.9956,3.37,10.4,6
0.2,28,0.9956,3.37,10.4,6
0,9,0.99619,3.33,10.9,6
0.28,17,0.99734,3.26,10.2,6
0.19,18,0.99476,3.39,10.9,5
0.5,20,0.99734,3.15,10.5,5
0.44,17,0.99328,3.35,12.4,6
0.08,3,0.99286,3.22,13,5
0.3,20,0.99914,3.3,10.2,5
0.3,20,0.99914,3.3,10.2,5
0,6,0.99521,3.36,11,5
0.1,25,0.99638,3.29,10.9,6
0.13,14,0.99362,3.62,12.4,6
0,6,0.99672,3.34,9.7,4
0.1,25,0.99638,3.29,10.9,6
0,51,0.99558,3.2,9.5,5
0,51,0.99558,3.2,9.5,5
0.14,15,0.99323,3.35,12.1,6
0,11,0.99191,3.45,12.2,6
0,5,0.99476,3.5,10.9,3
0,15,0.99444,3.78,12.5,6
0.07,20,0.99598,3.6,11.7,6
0.32,4,0.99576,3.3,11.2,6
0.44,28,0.99501,3.36,11.2,5
0.21,21,0.9955,3.12,9.2,5
0.26,24,0.99612,3.3,9.8,5
0.32,22,0.9979,3.29,10.1,5
0.09,15,0.99524,3.41,11.1,4
0.32,22,0.9979,3.29,10.1,5
0.1,27,0.996,3.28,9.2,5
0.26,24,0.99612,3.3,9.8,5
0.15,12,0.9929,3.33,12.8,6
0.21,14,0.99532,3.34,10.5,5
0.21,20,0.99558,3.4,10.1,6
0.21,24,0.99556,3.4,10.1,6
0.27,17,0.99616,3.26,9.8,6
0,16,0.99258,4.01,12.5,6
0.46,10,0.99638,3.18,11.9,6
0.27,17,0.99616,3.26,9.8,6
0.68,18,0.99652,2.9,9.1,6
0.34,12,0.99796,3.26,10.1,5
0,16,0.99258,4.01,12.5,6
0.42,9,0.99392,3.18,11.4,5
0.39,21,0.99495,3.18,11,7
0.24,18,0.9948,3.39,10.6,6
0.24,18,0.9948,3.39,10.6,6
0.24,18,0.9948,3.39,10.6,6
0.24,18,0.9948,3.39,10.6,6
0.11,13,0.9955,3.34,9.3,5
0.26,17,0.99616,3.29,9.8,6
0.26,17,0.99616,3.29,9.8,6
0.26,31,0.99668,3.26,9.2,5
0.1,6,0.99581,3.09,9.7,6
0.22,12,0.9976,3.18,9.6,5
0,4,0.99608,3.39,10,5
0.02,19,0.99387,3.38,12.6,6
0,15,0.99448,3.36,9.5,5
0,15,0.99448,3.36,9.5,5
0,15,0.99448,3.36,9.5,5
0.02,13,0.99538,3.36,10.5,6
0.02,13,0.99538,3.36,10.5,6
0.02,13,0.99538,3.36,10.5,6
0.02,17,0.99589,3.37,10.4,6
0.02,13,0.99538,3.36,10.5,6
0.48,8,0.99852,3.09,11,5
0.24,10,0.99613,3.25,10.2,6
0.01,5,0.99472,3.52,11.4,5
0.03,7,0.99587,3.34,9.5,5
0.03,7,0.99587,3.34,9.5,5
0,21,0.99518,3.41,10.8,5
0.29,32,0.99654,3.34,10,5
0.01,8,0.99332,3.32,11.8,6
0.03,14,0.9969,3.37,10.3,5
0.03,14,0.9969,3.37,10.3,5
0.03,7,0.99568,3.35,10,5
0.25,5,0.99464,3.36,10.1,5
0.25,4,0.99464,3.36,10.1,5
0.24,27,0.99648,3.6,11.1,6
0.17,52,0.99736,3.28,9.5,5
0.4,6,0.99704,3.07,10.03333333,6
