Group,Customer_Segment,Sales_Before,Sales_After,Customer_Satisfaction_Before,Customer_Satisfaction_After,Purchase_Made,class
Control,Low Value,,227.2827269,57.35545633,70.31610714,Yes,1
Control,Medium Value,162.3156467,186.9167941,71.44143519,68.02256477,No,1
Treatment,High Value,203.8462203,,82.66524337,,Yes,1
Treatment,Medium Value,160.9829364,256.9160351,77.06477631,98.40798631,,1
Treatment,Low Value,132.4116115,214.0413424,55.55755469,,Yes,1
Control,Medium Value,284.6827361,344.8922149,82.05429641,97.5888621,No,1
Control,Low Value,,,54.32727364,54.1192848,Yes,1
Control,Medium Value,256.4379243,300.8690457,73.73163518,77.323217,No,1
,High Value,289.3370767,454.7112686,78.53554376,86.58220046,Yes,1
Control,,256.0419121,310.4346695,100,97.92194239,Yes,1
Control,Medium Value,201.7868169,246.9156806,65.49320586,65.35203642,No,1
Control,Medium Value,201.6409771,239.420098,60.65590133,60.99618318,No,1
Treatment,Medium Value,297.5430656,458.7931876,45.11292529,,Yes,1
Treatment,Low Value,172.270786,272.9578776,54.17870286,73.92144865,No,1
Control,Medium Value,,258.9955933,,71.29252533,No,1
Control,Medium Value,256.0926661,302.5346969,67.93412971,,Yes,1
Control,High Value,295.921664,349.3288764,,67.54907331,No,1
Treatment,Medium Value,192.7614355,306.4111799,63.42191793,79.50687835,Yes,1
Treatment,Medium Value,243.2519731,379.5404661,,54.51596801,No,1
Treatment,,144.6863459,221.4369902,78.27155961,100,,1
,High Value,308.6516899,462.7439687,,100,Yes,1
Control,,237.7663931,275.6817757,46.34282354,54.09369652,No,1
Control,Medium Value,,,82.26361571,84.01441676,No,1
,Medium Value,253.1155761,301.5473423,71.75746944,82.84645372,No,1
Treatment,Low Value,236.9608761,374.0856382,43.14301007,48.06591815,No,1
Control,High Value,188.1668618,216.8664302,93.83093491,84.99916913,No,1
Treatment,Low Value,190.7648908,293.5070231,47.96982155,57.8819097,,1
Treatment,High Value,,,100,,No,1
,Low Value,252.2609424,304.2185755,49.53534843,73.08525966,No,1
Control,High Value,284.3410824,350.9871761,100,,Yes,1
Control,Low Value,185.4806577,216.0850404,64.08309444,53.86557186,No,1
Treatment,High Value,220.6250324,320.9280872,100,100,No,1
Control,High Value,228.8484103,273.7670339,91.56811369,100,Yes,1
Treatment,High Value,196.791769,,,100,No,1
Control,High Value,230.1839396,259.818677,,89.97750096,Yes,1
Treatment,,179.5067084,265.9836149,90.96322484,100,No,1
Treatment,Medium Value,266.431833,407.2289966,82.97917715,85.1465022,No,1
Control,High Value,298.3455394,361.5906868,98.75359153,100,No,1
Treatment,Medium Value,266.2564166,402.2367435,73.34510217,71.39557769,Yes,1
Treatment,,175.0180543,,100,,Yes,1
Control,,,240.7693827,,94.42767788,,1
Treatment,Medium Value,250.4753282,389.7205414,85.17451583,100,,1
,Low Value,231.4752565,267.511009,62.81526691,65.36737738,Yes,1
Treatment,High Value,144.1179248,238.4927142,85.76032183,97.79215609,Yes,1
Control,Low Value,236.5564966,275.7708201,50.42765989,63.56860283,No,1
Treatment,Low Value,255.3401301,379.3839065,44.40786543,50.39920476,Yes,1
Treatment,,203.8462203,316.8969556,81.455982,98.80653683,No,1
Control,High Value,194.745333,234.2933758,,99.47693713,,1
Treatment,High Value,210.193267,320.367056,,100,No,1
Control,Medium Value,214.2642626,246.3071095,74.84077536,75.43947248,Yes,1
,Low Value,206.4949661,253.1061226,65.82364205,68.56788197,No,1
Treatment,Medium Value,285.2460073,439.0368071,53.52219116,82.40329476,No,1
,Low Value,155.5715262,180.2060878,52.51686293,60.8027997,,1
Control,Low Value,,182.3904312,65.28267069,74.62530782,No,1
,,256.9352322,305.4344493,56.96657233,,No,1
Control,Medium Value,160.3148424,187.2730264,61.46213508,71.5746049,No,1
Treatment,,224.3788458,343.506908,58.8699887,71.15638413,Yes,1
Control,Medium Value,,267.3938494,,79.50204071,,1
,High Value,270.630935,431.0783393,87.03293096,100,Yes,1
Treatment,Low Value,166.0574449,256.3975916,42.4663805,39.66810569,No,1
Control,Low Value,227.9791356,273.9490773,,73.92144865,No,1
Treatment,,,164.0347304,38.31987648,100,Yes,1
Control,High Value,99.9115005,114.2405329,91.03592979,100,Yes,1
Treatment,,189.1369733,286.6197319,82.19446122,78.36093549,Yes,1
Treatment,,231.6729623,350.1610571,62.8865107,75.54055698,No,1
Treatment,Low Value,232.0129712,357.7350724,50.53660098,60.11867219,No,1
Control,Medium Value,281.1858544,340.6368378,80.6736969,77.10003658,No,1
Treatment,Medium Value,,485.9158714,,73.88015933,Yes,1
,Low Value,265.3513079,,,71.76218013,Yes,1
Control,High Value,258.0416996,312.6491033,91.16779724,89.13396037,No,1
,Low Value,252.0828367,293.912667,51.05470934,40.73898117,Yes,1
Control,,220.5006288,264.2418333,,99.45154475,Yes,1
Treatment,Medium Value,235.403215,379.4598431,,69.7926695,Yes,1
,Medium Value,194.3295787,226.4708055,83.48913459,92.62413037,No,1
Treatment,Low Value,,280.1825403,68.86744396,64.10579536,No,1
Treatment,Medium Value,340.5554663,522.6277879,36.3295304,34.58621068,Yes,1
Control,Medium Value,,389.9682653,71.14880332,86.43990063,Yes,1
Treatment,,242.6517188,384.3193799,69.90026248,81.44519944,No,1
Treatment,Medium Value,215.6826336,322.3069238,64.1566079,64.26581554,,1
,Medium Value,164.6537703,255.6859124,72.00289603,76.27929202,No,1
Treatment,,,405.3296348,79.86538549,82.13756783,Yes,1
Control,High Value,,254.6350522,98.74917091,82.0554421,Yes,1
Treatment,,,328.8414323,58.55640931,69.96986235,No,1
Control,Medium Value,255.1759,304.0291378,63.93723374,66.78529717,No,1
Treatment,Low Value,254.0703508,397.0536464,45.06811628,47.6881053,Yes,1
Treatment,High Value,290.5975663,429.6531539,100,100,No,1
Control,Medium Value,158.6043959,195.4743353,59.05164501,76.64661267,No,1
Treatment,Low Value,,190.6872569,54.4512591,,No,1
Treatment,Medium Value,260.2241606,399.7605971,78.80412582,,Yes,1
Treatment,Medium Value,222.7086639,,87.43248291,90.94762754,No,1
,Medium Value,238.6406066,267.5010689,72.89783987,76.29907894,No,1
Treatment,Medium Value,300.5492222,453.5143503,73.60105896,62.50739514,Yes,1
Control,Medium Value,,224.7040896,68.83211874,77.60467296,Yes,1
Treatment,Medium Value,279.383596,430.5818317,91.43708594,100,Yes,1
Control,Medium Value,188.0297124,212.48138,86.33203432,91.66978744,Yes,1
Control,High Value,336.6172939,410.005914,78.13855666,72.0922355,,1
Treatment,,274.922158,417.5062588,99.31485829,100,No,1
Treatment,,135.8487731,195.1212456,71.99499252,84.23460543,No,1
Control,Medium Value,205.7061157,243.2739044,75.6377119,78.16122334,Yes,1
Control,High Value,,413.6768245,81.37906019,97.03099582,Yes,1
Control,High Value,257.439572,291.1740126,90.5011627,83.47776476,No,1
Treatment,Low Value,,282.2477027,54.18942158,65.22501025,Yes,1
,High Value,345.8406078,409.2884114,91.17489461,100,Yes,1
Control,Medium Value,220.756785,262.4792378,89.51099589,80.818384,Yes,1
Treatment,Low Value,111.39565,177.9473051,60.87662458,60.10932793,No,1
Treatment,,183.499222,284.3070933,70.56643383,76,No,1
Treatment,Medium Value,279.0339208,442.6993767,66.04837891,70.11050383,Yes,1
Treatment,High Value,191.0647211,290.7653417,80.79319507,83.23003234,Yes,1
Control,Medium Value,265.5001163,,74.73316162,,Yes,1
Treatment,,,252.9388979,91.14155908,85.03181038,Yes,1
Control,High Value,307.4273466,366.7773724,,,No,1
Control,,185.8919066,216.9076333,84.26977935,99.37510086,No,1
Treatment,High Value,,346.726601,99.34381212,100,Yes,1
Control,High Value,214.280579,253.3543724,85.85422421,76.38012189,Yes,1
Control,Medium Value,244.0320926,280.2628075,,90.97894472,No,1
Control,High Value,345.680629,412.7887315,,94.12155541,Yes,1
Control,Medium Value,226.0272762,271.6799208,78.65448625,,Yes,1
Treatment,High Value,244.6630557,369.9532126,89.55380105,77.21794306,No,1
Treatment,Low Value,176.1183841,271.5202723,62.68865606,71.75399973,No,1
Treatment,High Value,,235.812544,95.09755058,,No,1
Treatment,High Value,,324.785842,100,100,No,1
Control,Medium Value,,,,99.86587417,Yes,1
,,135.7804179,161.3403928,86.76531218,,No,1
Treatment,Low Value,192.8835096,307.0715199,53.72406606,,Yes,1
,Low Value,179.0118025,276.5351469,56.83491827,46.59067037,No,1
Treatment,High Value,320.1231725,502.1467516,95.23061579,89.28980253,Yes,1
Control,High Value,196.8089077,237.2677674,100,,,1
Treatment,Low Value,237.357267,366.411859,54.01565852,45.23129107,No,1
Treatment,Medium Value,248.773108,393.324234,78.32370074,88.15209584,No,1
Treatment,Low Value,261.825566,396.6354305,70.85644857,76,No,1
Control,Low Value,189.4659121,226.2218289,49.27630269,50.97111291,No,1
Control,High Value,315.4129045,370.4848051,,,No,1
Control,,280.6230619,338.4903309,84.06845329,92.48616879,Yes,1
Control,,,297.6673713,,55.75035294,No,1
Control,Medium Value,341.8507496,412.1875885,86.22582807,99.09559004,No,1
Control,Low Value,,236.8612999,45.4065253,53.75076745,Yes,1
Control,Low Value,203.8462203,243.7668889,55.08822629,61.17027147,No,1
Control,Medium Value,197.2060686,236.049549,65.57377019,71.99615537,Yes,1
Treatment,Low Value,262.2536082,407.8416723,73.028067,74.57622206,Yes,1
Treatment,Low Value,305.9331095,,54.52910572,62.66254591,No,1
Control,High Value,203.8462203,243.7668889,76.87951147,80.47618325,Yes,1
,Medium Value,133.4953048,155.6223764,,,No,1
Treatment,High Value,191.6635362,286.5814144,100,,No,1
Control,,303.7123288,362.0978938,87.66819243,,Yes,1
Control,,163.8179738,195.4740429,70.99133224,73.92144865,No,1
Control,Medium Value,193.5444383,,85.56652735,99.00480549,No,1
Treatment,Low Value,172.815825,282.2398976,63.71130792,63.25149701,No,1
Treatment,High Value,234.0323998,,77.66887387,,Yes,1
Treatment,Medium Value,231.5250236,349.4446418,62.12036901,58.48634493,No,1
,,139.1073442,216.8254659,85.33737076,94.85456783,Yes,1
Treatment,High Value,156.1115411,228.5749818,,100,No,1
,,152.3586398,168.7253011,80.19376466,91.72326851,Yes,1
,Low Value,137.5031103,206.6392123,55.37143323,53.70722062,No,1
Control,,246.4015832,282.0263917,86.09902537,100,Yes,1
Control,Medium Value,232.5755107,278.4589198,,62.74631815,Yes,1
Treatment,Low Value,248.4469684,389.3148101,50.28937214,,No,1
Treatment,High Value,273.0218914,435.7701718,100,100,Yes,1
Control,Medium Value,183.9876866,217.1643278,,63.61409795,No,1
Control,,256.3531813,,92.96318028,92.53846394,No,1
Control,Medium Value,269.0338133,321.3201598,79.16223739,80.18537274,No,1
Treatment,Medium Value,,172.8165096,41.27323118,,No,1
Treatment,,,180.0158302,44.00307664,42.21590069,No,1
Treatment,High Value,196.3447486,,100,100,No,1
Treatment,Medium Value,179.4458077,271.9144781,93.07854383,99.84023356,Yes,1
Treatment,,229.8613403,358.2404253,67.410161,76,No,1
Control,High Value,250.6607382,282.2603089,60.92867769,78.43700252,No,1
,Medium Value,318.710944,500.4863411,70.45026893,83.05705078,No,1
Control,Medium Value,198.7155352,232.9058288,63.98429208,72.78114804,Yes,1
Control,Low Value,,274.1153237,58.91429391,,No,1
Control,,207.1413225,246.9459572,61.54815649,76,Yes,1
Treatment,Low Value,197.0009955,302.5658633,45.21752314,,No,1
Treatment,High Value,219.7075302,338.5276781,,,Yes,1
Treatment,,256.0421465,404.7632986,72.15257475,64.84293862,No,1
,Medium Value,250.1043342,285.2151269,69.06673451,61.00608626,Yes,1
Control,Medium Value,229.032355,262.3811789,77.74389348,,Yes,1
Control,,211.3304216,247.0057506,53.07220122,52.6748128,Yes,1
Control,Medium Value,220.4131537,269.1485827,82.42625006,,Yes,1
Control,,,177.0249904,83.69238917,92.53157509,No,1
Control,Low Value,,234.4252599,64.71547344,69.95834991,,1
,Low Value,227.9537095,354.729529,48.57174742,47.79844315,Yes,1
Treatment,High Value,246.148954,387.8852039,,74.22600932,No,1
Control,,245.0097555,291.1573343,74.12807398,70.79238739,Yes,1
Control,High Value,222.4838941,259.8853439,100,100,No,1
,Low Value,215.2462772,330.2199208,65.24443593,66.11537588,No,1
Treatment,Low Value,174.6232541,271.4599676,44.18293359,51.06897922,Yes,1
Treatment,High Value,217.6142248,,81.32947138,,No,1
Control,,,209.4814178,93.50389332,100,Yes,1
Treatment,Medium Value,223.0268285,340.7186242,,57.78363647,Yes,1
Treatment,High Value,245.8988243,378.4479646,56.94333413,,Yes,1
Treatment,,262.8300484,404.2115621,83.45147212,85.09852521,No,1
Control,Medium Value,188.4879012,222.1406809,78.6585732,73.92144865,No,1
Control,Medium Value,236.3774107,280.5401095,72.07578108,91.86072571,No,1
Treatment,Medium Value,176.2836474,,64.69337578,56.16778651,No,1
Control,,227.4343471,263.9792634,84.21827357,91.28637625,No,1
Control,Medium Value,235.9021967,279.3630235,69.8438767,89.0487255,Yes,1
Control,Low Value,190.2744519,228.3095487,73.36529763,,Yes,1
Control,,121.1009233,,54.68684071,57.9955077,No,1
Control,Low Value,124.9337143,135.3789422,,56.39854366,Yes,1
Control,,245.482233,283.5483164,,100,Yes,1
Control,Low Value,229.4910561,,57.83936161,,Yes,1
Control,High Value,257.3360378,302.5769237,79.8985896,86.98742492,No,1
Control,High Value,288.9172839,329.9747139,92.62531195,100,No,1
Control,Low Value,182.604066,222.3202532,53.2881447,62.97226976,Yes,1
,Medium Value,257.5741822,404.7096882,79.11773608,76.31144184,,1
Treatment,,268.6395939,403.0541238,75.06739498,59.70733245,Yes,1
,Low Value,177.9797818,203.5479752,45.06641974,,Yes,1
Treatment,,281.3027443,,89.04728311,100,No,1
Treatment,Medium Value,240.5645921,362.8317156,62.17101479,94.34016728,No,1
Control,Medium Value,308.4720772,373.6829767,82.96010765,,Yes,1
Control,Low Value,262.500847,319.9751842,46.07789301,64.95859584,Yes,1
,High Value,240.9161783,274.9524009,100,100,No,1
Treatment,High Value,215.7414707,322.9091208,90.11548515,90.85555664,No,1
Treatment,,323.0057488,507.2886789,,,No,1
Control,High Value,272.055457,312.9212033,,100,Yes,1
Control,Low Value,189.1899623,217.5540636,54.11337328,56.70260211,Yes,1
Control,Medium Value,118.0588853,136.5150982,84.56892185,99.83720877,No,1
Treatment,Low Value,166.9176948,254.8665444,,57.15898937,No,1
,High Value,201.6077026,318.4226771,84.87455672,94.6470294,No,1
Treatment,,234.1882282,364.6173554,74.76047742,79.5469073,Yes,1
Treatment,Medium Value,258.0629648,399.0832766,74.82926353,84.3668982,Yes,1
Control,High Value,,328.1658706,100,,,1
Control,Low Value,264.4407511,307.9654433,45.04336112,40.63944432,No,1
Control,Low Value,236.5099521,286.9668294,,33.83246438,Yes,1
Control,Medium Value,145.473628,171.4638338,82.9876471,83.95610091,Yes,1
Treatment,Low Value,243.7941835,380.3939099,47.4223503,55.68984208,Yes,1
Treatment,Low Value,275.2708045,426.3783687,48.93585209,,Yes,1
Control,Low Value,,333.5049377,,52.71703873,Yes,1
Control,Low Value,146.0696161,172.2934877,,,No,1
Treatment,High Value,225.6648432,346.4091142,100,100,,1
Control,Low Value,249.3789739,,64.12766501,62.22688176,No,1
Treatment,Medium Value,,252.1081435,60.61945654,64.99951273,Yes,1
Control,Medium Value,136.4648862,163.0577136,65.53501634,59.36809597,,1
Control,,210.9463513,255.778204,54.43995442,,No,1
Control,Medium Value,181.2604427,215.0251413,69.0881971,88.34416127,No,1
,Low Value,122.7545888,152.6003683,47.80388715,,Yes,1
,,286.7195814,337.2758189,76.47338484,76.03266736,No,1
Control,,237.424387,294.1177329,55.29644659,66.34658298,No,1
Control,Low Value,181.3292796,216.4731342,55.8246972,73.92144865,No,1
Treatment,Low Value,152.2903477,213.0314997,68.44708669,76,Yes,1
Treatment,High Value,245.2842537,393.7500459,92.66172852,100,Yes,1
Treatment,Low Value,221.6763569,334.3424477,47.59006263,55.92424036,Yes,1
Treatment,Low Value,204.5953659,316.0281829,44.55981271,,No,1
Treatment,High Value,160.0532664,248.4935852,95.52928419,98.74773207,No,1
Control,Low Value,218.6545657,259.1963297,,76,No,1
Control,Low Value,,268.2302945,,55.86442647,No,1
Treatment,High Value,214.2094811,322.86388,84.27093822,92.62554959,Yes,1
Control,Low Value,246.9480871,289.9325798,49.68290866,,No,1
Treatment,,157.1425703,249.0297933,44.16608067,47.6390135,No,1
Treatment,High Value,306.4131135,463.4037992,94.76708912,100,No,1
Control,Medium Value,194.9125197,234.2793419,82.47136404,99.95944024,Yes,1
Control,Low Value,191.4861057,220.3850074,,,Yes,1
,,278.0985624,432.3960726,68.77968764,,Yes,1
Control,Medium Value,,277.7993926,77.72505317,82.70177048,,1
Treatment,High Value,274.0337726,,93.75388893,100,,1
Treatment,Low Value,248.3429504,390.8462286,59.59846584,66.88642435,Yes,1
Treatment,Low Value,169.7409386,,62.60539318,63.89018168,Yes,1
Control,High Value,250.5149733,290.5266937,,83.5065964,Yes,1
Control,Medium Value,212.4671009,250.0465107,,57.54517986,Yes,1
,High Value,,,100,100,No,1
Control,,180.2322663,225.8212606,52.87457218,55.56806359,No,1
,High Value,243.3849403,287.6336207,83.97929296,81.10405826,No,1
Control,Low Value,297.2683322,342.7502179,57.94721696,68.79016431,No,1
Treatment,,280.0242046,426.4689372,68.6437217,66.36950286,Yes,1
Treatment,Low Value,150.2986996,228.3716121,44.8655213,39.98482915,Yes,1
Control,Medium Value,266.8176686,308.3589072,61.60620223,63.035962,No,1
Treatment,Medium Value,258.8790731,388.3855623,63.65237945,73.53519538,Yes,1
Control,Low Value,144.7762501,168.2501688,58.18849219,55.19180561,No,1
Control,,199.6427031,238.9761588,,53.33407521,Yes,1
Treatment,Low Value,187.9938404,284.3833786,55.25245152,56.88758299,No,1
Treatment,,182.5275863,258.2315906,71.08970278,73.92144865,Yes,1
Treatment,Medium Value,169.2616916,273.0594793,60.27648255,70.33522879,No,1
Control,High Value,245.4060045,288.6393536,100,100,No,1
Control,Low Value,101.2293985,,56.92572749,,No,1
Control,Medium Value,222.3076446,,70.24902619,78.11063865,No,1
,,245.5761189,374.666526,82.09992838,85.01174037,Yes,1
Control,Medium Value,246.0704909,294.3130081,65.00031244,66.09797908,Yes,1
Treatment,,,189.6259827,,58.60029694,Yes,1
Treatment,High Value,363.9277403,551.1741345,74.00442428,62.37693025,No,1
Treatment,Medium Value,301.4636824,456.4317539,60.42788829,75.84548888,No,1
Treatment,High Value,200.9938485,305.9055799,100,100,No,1
Treatment,Low Value,257.5390731,396.9799901,49.0830233,,No,1
Control,Medium Value,108.7727328,122.3447819,69.3930873,54.42762028,No,1
Treatment,High Value,,452.686624,81.90344032,63.61546542,No,1
Treatment,High Value,242.8239545,,79.1931784,100,Yes,1
Control,Medium Value,239.2889148,285.8134955,66.18654492,66.27453774,No,1
Control,Low Value,138.2901583,161.8103372,47.01592359,52.24947712,Yes,1
Control,,209.8351098,249.8229945,78.11191408,,No,1
Treatment,Medium Value,284.3486354,439.0959605,,100,No,1
Control,,296.8183618,349.0666898,72.31220174,,No,1
Treatment,High Value,214.0262415,325.2719116,91.35409042,97.57244469,No,1
Treatment,Medium Value,261.1214004,421.7564366,80.50451849,91.59786041,Yes,1
Control,Medium Value,,,62.93669674,59.88960795,Yes,1
Control,,,164.7864725,65.27462662,69.17764738,Yes,1
Control,Medium Value,302.2284816,361.1534456,66.18380938,69.17795875,No,1
Treatment,Low Value,,269.7649817,,62.96765737,,1
Treatment,High Value,244.2144029,,86.32014965,100,No,1
Control,High Value,223.361329,,77.15879747,63.55670829,Yes,1
Control,,256.8124018,,82.63292084,100,Yes,1
Treatment,Low Value,154.0186056,235.4385474,,62.62088718,No,1
Treatment,Medium Value,215.5408491,322.0367159,,93.26624717,Yes,1
Treatment,High Value,251.257251,392.0546101,97.93981004,93.18037981,Yes,1
Control,Medium Value,281.0921605,,70.08985041,74.31878849,No,1
Treatment,Medium Value,,430.2706503,,92.08990235,No,1
Control,High Value,306.513862,365.2548458,,100,No,1
Treatment,Low Value,241.1421216,369.2144555,52.60799326,51.53483802,No,1
Control,,313.5176481,377.6810881,52.17180347,73.95013312,No,1
Treatment,High Value,222.4141842,329.54889,,99.52099249,No,1
Treatment,Medium Value,,319.2524449,83.05751974,97.73337924,No,1
Treatment,Medium Value,204.1032132,320.678542,75.58582697,,No,1
Treatment,Medium Value,217.226294,322.4881099,53.31125924,52.02806195,No,1
Treatment,,147.7627608,220.3243972,76.09664339,,No,1
Control,Medium Value,231.9379826,272.6694074,95.10268988,99.73265433,,1
Treatment,Low Value,219.5062935,341.1950058,53.92831759,,Yes,1
Treatment,Low Value,,273.763431,68.1475689,,Yes,1
Treatment,High Value,142.040465,,98.20844169,100,No,1
Control,Low Value,,238.6165579,54.93897233,50.17834178,Yes,1
Treatment,Low Value,140.2032323,212.5160136,65.4720567,65.13397784,No,1
,Low Value,,257.184141,50.72757637,57.47719499,No,1
Treatment,Medium Value,231.9823165,349.0303001,59.55326227,55.41510186,No,1
Treatment,Medium Value,226.2669221,360.4211584,58.87878982,59.87148539,Yes,1
,High Value,188.6317436,,,100,No,1
Treatment,,313.4022429,479.2124464,,100,Yes,1
Control,High Value,,301.1639289,82.19502954,82.04916488,No,1
Control,,182.8262335,229.2886877,84.9888322,99.78737465,Yes,1
Treatment,Low Value,218.4603264,327.7631589,55.30491331,64.90743105,Yes,1
Control,Low Value,206.2397412,,60.9773283,61.15218753,No,1
Treatment,Medium Value,316.5164968,469.6640599,64.83595798,76.66639335,Yes,1
Treatment,High Value,207.5724408,324.8160145,90.012725,81.80595328,Yes,1
Control,High Value,,224.3540697,67.04760808,,No,1
Control,High Value,256.1908052,296.1341192,89.36165368,96.81504424,Yes,1
Control,,271.7238512,329.6741464,73.53941625,81.14392633,Yes,1
Control,High Value,545.4225471,646.7284496,42.63766643,43.3998437,Yes,1
Treatment,High Value,428.9231286,656.9150969,90.84687386,,Yes,1
Treatment,Medium Value,146.0996572,211.984936,74.94385628,77.77664414,,1
Control,Low Value,195.1654626,230.2240719,49.56908369,,Yes,1
Treatment,Medium Value,148.7408686,228.0660186,68.29854972,90.07675226,Yes,1
Treatment,Medium Value,,318.8633492,65.06935661,75.06310684,No,1
,Medium Value,335.2351316,529.2197555,65.02509894,,Yes,1
Treatment,Medium Value,183.8032065,276.776335,85.02322678,96.74352551,,1
Control,Low Value,201.7408648,238.3405676,43.636951,44.8297433,Yes,1
Control,High Value,203.6815706,241.6609604,98.40383978,76.47196821,No,1
,Medium Value,167.4264417,279.9771136,58.00772746,68.16225366,No,1
Control,Low Value,273.3903831,331.6180023,66.45287093,57.5369246,Yes,1
Control,High Value,155.7562382,188.0938993,97.44251523,87.91172173,No,1
Control,High Value,235.3631556,275.1385612,,77.48677168,No,1
Treatment,High Value,250.6929145,388.7496187,100,,Yes,1
Treatment,Medium Value,224.4905848,348.9103599,82.13308011,87.96852337,Yes,1
Treatment,Medium Value,210.779071,323.46945,79.16933637,95.04920204,No,1
Control,,,394.8910336,98.54236302,86.09616276,Yes,1
Treatment,High Value,,215.7256929,70.24902619,93.39112509,,1
Treatment,High Value,256.3485927,384.5567307,100,100,No,1
Control,High Value,263.6012149,314.8028652,89.52949167,100,No,1
Treatment,High Value,,,92.15590942,100,Yes,1
Treatment,,204.7043448,311.6552125,100,100,No,1
Control,,246.3247889,288.3668265,52.92533983,57.95976743,Yes,1
Control,,301.8223755,353.0103685,,100,,1
,Medium Value,176.1452619,,80.52666238,88.63845736,No,1
Treatment,Medium Value,161.0781906,247.4565712,100,100,,1
Treatment,Medium Value,145.9870987,230.7334962,69.67509273,70.40690163,Yes,1
Treatment,High Value,256.2465023,391.6918781,99.43433606,100,No,1
Control,,219.5454156,262.1981368,77.02187128,,No,1
Control,,181.2909759,216.8806652,,64.92833562,Yes,1
Treatment,High Value,358.9781889,552.3143066,89.97317966,89.56450976,Yes,1
Treatment,Medium Value,,303.6110685,75.56116761,88.16729726,No,1
Control,Low Value,204.0768281,248.4630249,55.37616529,48.30860237,No,1
Control,,188.3563939,216.3643152,60.71742391,,Yes,1
Control,Medium Value,317.257853,378.1862232,50.93188657,,Yes,1
Control,Low Value,106.3909454,127.3127418,52.18312751,,No,1
Treatment,Medium Value,202.7497615,317.5796244,,,No,1
,Low Value,232.3824345,280.6445231,,67.23955872,No,1
Treatment,High Value,232.3192437,363.1880477,96.43883453,100,Yes,1
Treatment,High Value,168.1171261,267.1609898,,92.63509678,Yes,1
Treatment,High Value,254.9995083,388.6590939,97.51236522,95.46021552,Yes,1
,High Value,150.4635796,186.1082127,98.94705066,92.87566057,Yes,1
Control,High Value,,338.2406071,81.60215934,61.61003817,Yes,1
Control,Medium Value,,242.278126,65.17308483,85.65712578,Yes,1
Control,High Value,,237.5330853,82.17820591,91.42756947,No,1
Treatment,High Value,301.4372615,470.4840964,84.91975996,,No,1
,,177.6604601,209.9452498,100,87.63284974,Yes,1
Control,High Value,150.4299541,,77.64307723,87.05889269,Yes,1
Treatment,Low Value,151.2135544,240.6260369,69.9642276,,No,1
Control,High Value,354.7957572,422.9842319,,90.47095426,No,1
Treatment,High Value,,301.5063523,76.17179379,73.92144865,No,1
Treatment,High Value,179.9243004,269.1998041,85.34209705,78.23709988,No,1
Treatment,Medium Value,225.7596789,358.7093912,60.16847401,68.48183467,No,1
Treatment,,226.7930036,346.3997376,77.08759775,82.10333007,No,1
Treatment,High Value,312.108024,472.8677456,76.1081341,100,Yes,1
Control,Low Value,,,43.89119545,57.75032037,No,1
Control,Low Value,178.4005971,209.8457924,,76,Yes,1
Control,Medium Value,351.4961126,423.1327476,68.59882857,79.76431153,Yes,1
Control,High Value,146.8721093,165.6315491,86.52503627,,Yes,1
,Medium Value,114.1969278,164.758231,,78.76043782,No,1
Control,Medium Value,151.4575435,174.3300973,72.34368387,84.55395337,Yes,1
Treatment,Medium Value,284.8215027,438.7361266,64.97723645,63.22477179,Yes,1
Control,High Value,212.2088501,243.2456445,81.75320433,86.52191973,Yes,1
Control,High Value,,240.5822649,100,89.22829608,Yes,1
Control,Low Value,152.7434064,188.3952811,46.72036499,47.4994653,No,1
Treatment,High Value,297.8782752,459.0227739,91.46836975,100,Yes,1
Control,Medium Value,160.7643928,186.535546,90.77887708,99.65167295,Yes,1
Treatment,Medium Value,184.1889326,291.2148941,67.81432498,77.7917365,Yes,1
Treatment,Low Value,158.0154645,233.6995124,65.70907716,76,No,1
Control,High Value,91.79109129,,,66.16701761,No,1
,,,230.2094211,,85.09811154,Yes,1
Control,Low Value,206.6180305,253.8024352,,60.51086607,No,1
Treatment,,155.7928029,247.5093988,,,Yes,1
Control,Medium Value,203.8462203,243.7668889,88.81811692,86.15431067,No,1
Treatment,Medium Value,209.5509077,323.537509,71.6209608,,No,1
Treatment,High Value,239.9142058,355.9275166,76.46879436,92.63356282,No,1
,Low Value,150.4164202,183.3170831,,69.52808745,Yes,1
Control,Medium Value,165.2984884,188.6435102,,83.01196754,No,1
Treatment,Low Value,197.7583329,309.6288621,46.12234813,,No,1
Treatment,High Value,161.5516397,256.5962579,,94.10884188,Yes,1
Treatment,Medium Value,206.9095008,303.22238,64.30122179,,Yes,1
Control,High Value,334.6081706,407.2254508,76.73598711,68.75246217,No,1
,Low Value,193.979957,306.1507362,46.61500761,54.48216832,No,1
,High Value,142.8452328,160.0562677,94.25678057,,No,1
Treatment,High Value,250.9652609,396.1746818,100,100,No,1
Treatment,Low Value,239.248381,360.1047075,54.23974676,61.44914783,No,1
Control,,197.2007294,238.5285067,94.68739054,93.00247131,Yes,1
Treatment,Low Value,175.9626837,269.3329308,50.31615311,60.80368759,No,1
Control,,181.6842104,205.4527395,71.69005064,80.62972663,,1
Control,Low Value,172.4950915,211.6756548,48.06806254,43.97521669,No,1
Treatment,,164.468311,262.6401014,40.92659731,35.38515366,No,1
Control,Medium Value,238.087593,283.0319356,64.77446177,,No,1
